Artist,Date,Venue,City,DetailLink,Address,PostalCode,Latitude,Longitude
The Wieners,2025-05-24T19:00:00+0200,Unknown,"Putten, Netherlands",https://www.songkick.com/concerts/42379921-wieners-at-unknown-venue,Unknown,Unknown,52.25868,5.60537
Fiddler's Green,2025-05-25T20:30:00+0200,Poppodium Q-Factory,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42356277-fiddlers-green-at-poppodium-qfactory,Atlantisplein 1,1093 NE,52.35762,4.9304
Morgan Jay,2025-05-25T19:30:00+0200,Theater Amsterdam,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42295815-morgan-jay-at-theater-amsterdam,"Danzigerkade 5, Westpoort number 2036",1013 AP,52.39702,4.87724
Morgan Jay,2025-05-25T22:00:00+0200,Theater Amsterdam,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42295817-morgan-jay-at-theater-amsterdam,"Danzigerkade 5, Westpoort number 2036",1013 AP,52.39702,4.87724
"Nelly, Fabolous, Jermaine Dupri, and St. Lunatics",2025-05-26T20:00:00+0200,Ziggo Dome,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42321526-nelly-at-ziggo-dome,De Passage 100,1101 AX,52.31345,4.93719
Don Toliver,2025-05-26T20:00:00+0200,AFAS Live,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42449104-don-toliver-at-afas-live,Johan Cruijff Boulevard 590,1101DS,52.31216,4.94467
"I'm With Her, Sarah Jarosz, Aoife O'Donovan, and Sara Watkins",2025-05-26T19:00:00+0200,Paradiso,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42328446-im-with-her-at-paradiso,Weteringschans 6-8,1017 SG,52.36228,4.88395
Freak Slug,2025-05-26T19:30:00+0200,Cinetol,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42281590-freak-slug-at-cinetol,Tolstraat 182,1074 VM,52.35281,4.90657
Patrick Wolf,2025-05-27,Tolhuistuin,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42410146-patrick-wolf-at-tolhuistuin,IJpromenade 2,1031KT,52.38515,4.90023
Tyler Hilton,2025-05-27T19:00:00+0200,Bitterzoet,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42431774-tyler-hilton-at-bitterzoet,Spuistraat 2,1012,52.3774,4.89422
Tate McRae,2025-05-28T20:00:00+0200,Ziggo Dome,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42277732-tate-mcrae-at-ziggo-dome,De Passage 100,1101 AX,52.31345,4.93719
daste.,2025-05-28T20:00:00+0200,"Paradiso, upstairs","Amsterdam, Netherlands",https://www.songkick.com/concerts/42398013-daste-at-paradiso-upstairs,Unknown,Unknown,Unknown,Unknown
Mozart Requiem,2025-05-28T19:30:00+0200,Het Koninklijk Concertgebouw,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42081313-mozart-requiem-at-het-koninklijk-concertgebouw,Concertgebouwplein 2-6,1071LN,52.35597,4.87856
Jenny Hval,2025-05-30T19:00:00+0200,Muziekgebouw,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42453228-jenny-hval-at-muziekgebouw,Piet Heinkade 1,1019BR,52.37835,4.91311
puntjudith,2025-05-30T19:00:00+0200,OT301,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42281886-puntjudith-at-ot301,Overtoom 301,1054,52.36014,4.86571
