Index,Artist,Date,Venue,City,Latitude,Longitude
317,Eric Vloeimans and J?rg Brinkmann,2025/5/10,Theater City of Wesopa,Weesp,52.30887,5.03978
318,Marlon Pichel,2025/5/10,Poppodium Q-Factory,Amsterdam,52.35762,4.9304
319,ProtestFest 2025,2025/5/10,Paradiso,Amsterdam,52.36228,4.88395
320,Music on Festival 2025,2025/5/11,Unknown,Amsterdam,52.37022,4.89517
321,BABYMETAL,2025/5/13,Ziggo Dome,Amsterdam,52.31345,4.93719
322,"The Swell Season, Glen Hansard, and Mark¨¦ta Irglov¨¢",2025/5/13,Koninklijk Theater Carr¨¦,Amsterdam,52.36238,4.90388
323,Bonnie 'Prince' Billy,2025/5/13,Paradiso,Amsterdam,52.36228,4.88395
324,Vraell,2025/5/13,Paradiso Tolhuistuin,Amsterdam,52.38308,4.90303
325,"Tyler, The Creator",2025/5/14,Ziggo Dome,Amsterdam,52.31345,4.93719
326,"Tyler, The Creator",2025/5/15,Ziggo Dome,Amsterdam,52.31345,4.93719
327,Divorce (UK),2025/5/15,Bitterzoet,Amsterdam,52.3774,4.89422
328,Rival Consoles,2025/5/16,Melkweg,Amsterdam,52.36484,4.88127
329,Douwe Bob,2025/5/16,AFAS Live,Amsterdam,52.31216,4.94467
330,§³§Ñ§Þ§à§Ö §Ò§à§Ý§î§ê§à§Ö §á§â§à§ã§ä§à§Ö §é§Ú§ã§Ý§à,2025/5/16,Bitterzoet,Amsterdam,52.3774,4.89422
331,KUHN FU,2025/5/16,Bimhuis,Amsterdam,52.37815,4.91283
332,Abba Gold,2025/5/16,Poppodium Q-Factory,Amsterdam,52.35762,4.9304
333,"London Calling, Paradiso 2025",2025/5/16,Paradiso,Amsterdam,52.36228,4.88395
334,London Calling Festival 2025,2025/5/16,Paradiso,Amsterdam,52.36228,4.88395
335,Awakenings Upclose 2025 2025,2025/5/16,Unknown,Amsterdam,52.37022,4.89517
336,The Lumineers and Michael Marcagi,2025/5/17,AFAS Live,Amsterdam,52.31216,4.94467
337,Soccer Mommy,2025/5/17,London Calling Festival,Amsterdam,Unknown,Unknown
338,Hilight Tribe,2025/5/17,Melkweg,Amsterdam,52.36484,4.88127
339,Brothers Moving,2025/5/17,Melkweg,Amsterdam,52.36484,4.88127
340,Eric Vloeimans and J?rg Brinkmann,2025/5/17,Theater De Omval,Diemen,52.342,4.96487
341,Awakenings Upclose 2025,2025/5/17,Unknown,Amsterdam,52.37022,4.89517
342,Osees,2025/5/18,Paradiso Grote Zaal,Amsterdam,52.36228,4.88395
343,PUP,2025/5/18,Melkweg,Amsterdam,52.36484,4.88127
344,Scott Bradlee's Postmodern Jukebox,2025/5/19,Paradiso Grote Zaal,Amsterdam,52.36228,4.88395
345,Lael Neale,2025/5/19,DOKA,Amsterdam,52.35371,4.91192
346,Boyce Avenue,2025/5/20,Melkweg OZ,Amsterdam,52.36484,4.88127
347,Katell,2025/5/20,Zaantheater,Zaandam,52.43852,4.82511
348,CATTmusic and Catt,2025/5/21,Paradiso,Amsterdam,52.36228,4.88395
349,Steven Wilson,2025/5/22,AFAS Live,Amsterdam,52.31216,4.94467
350,Vieux Farka Toure,2025/5/22,Melkweg,Amsterdam,52.36484,4.88127
351,Steven Wilson,2025/5/22,AFAS Live,Amsterdam,52.31216,4.94467
352,Vieux Farka Toure,2025/5/22,Melkweg,Amsterdam,52.36484,4.88127
353,Abigail Lapell,2025/5/22,Melkweg,Amsterdam,52.36484,4.88127
354,TV Moms,2025/5/22,The Cave,Amsterdam,52.36441,4.88487
355,Mozart Requiem,2025/5/22,Het Koninklijk Concertgebouw,Amsterdam,52.35597,4.87856
356,Dotan,2025/5/23,Paradiso,Amsterdam,52.36228,4.88395
357,The Sugarhill Gang,2025/5/23,Poppodium Q-Factory,Amsterdam,52.35762,4.9304
358,Make Them Suffer,2025/5/23,Melkweg,Amsterdam,52.36484,4.88127
359,Pieter de Graaf,2025/5/23,Vondelkerk Amsterdam,Amsterdam,52.3613,4.87375
360,The Dutch,2025/5/23,deMess,Naarden,52.29468,5.16482
361,Astels,2025/5/23,Paradiso,Amsterdam,52.36228,4.88395
362,Alabaster DePlume,2025/5/24,Zonnehuis,Amsterdam,52.41341,4.89126
363,Ibrahim Tatlises,2025/5/24,Rai Amsterdam,Amsterdam,52.34322,4.89128
364,Enji,2025/5/24,Bimhuis,Amsterdam,52.37815,4.91283
365,Senyor Oca,2025/5/24,OT301,Amsterdam,52.36014,4.86571
366,Question Mark,2025/5/24,Rock Club The Cave,Amsterdam,52.36441,4.88486
367,The Wieners,2025/5/24,Unknown,Putten,52.25868,5.60537
368,Fiddler's Green,2025/5/25,Poppodium Q-Factory,Amsterdam,52.35762,4.9304
